,file_name,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y
0,16750.jpg,250.89502,465.1916,255.02074,539.13635,263.0491,613.5836,278.3039,686.6136,309.9791,755.015,352.7159,815.38513,400.50027,873.56244,448.28174,929.3469,510.0616,950.1941,574.8318,933.8424,634.8282,881.9678,691.5995,825.1438,741.5323,765.1885,775.75757,696.24457,795.04346,617.6307,803.4717,535.6229,809.06885,452.75095,269.1336,444.67584,302.6414,418.34885,350.31622,420.7668,397.05484,432.3247,441.75537,457.1323,557.9826,459.27502,610.1468,437.44873,663.8838,428.13528,717.9698,429.05154,761.1863,453.96967,499.80652,505.7641,497.93164,563.2748,495.77686,620.82806,492.88293,679.2377,434.75195,679.4322,463.11597,696.7288,498.11328,712.25665,534.448,697.13,567.05927,682.23376,332.8765,489.79514,365.55673,473.31265,407.18787,475.78918,444.36493,508.37088,404.1457,511.8034,361.9743,509.6465,576.15564,511.95392,613.9079,481.1261,655.58966,479.75552,687.76447,497.88394,659.05597,515.8625,616.1601,516.91895,381.87265,721.0257,423.8908,725.6828,468.76813,729.0303,504.42004,738.56244,541.50336,729.7837,594.6039,727.74713,646.6596,723.39984,598.377,796.4775,547.3931,832.8993,507.18622,838.137,468.274,831.2207,423.69315,793.22144,399.99115,729.54425,468.92426,747.77454,505.11673,754.44507,542.4664,748.69183,629.39856,731.02057,545.1089,794.2131,507.32614,799.809,469.82245,791.3621
1,26693.jpg,335.23486,527.3503,333.30005,587.7908,341.74698,650.5764,353.2795,711.5023,368.5749,771.8518,392.729,829.5748,422.03036,880.6341,457.5498,929.3546,512.1087,948.7541,585.6369,942.8895,663.5916,914.45764,742.96735,877.2885,807.5298,821.7767,845.9674,748.5182,858.78784,665.32745,863.8918,580.06586,867.3394,493.87482,328.03156,473.78333,346.13037,442.54724,384.3435,441.93082,421.49655,451.7989,459.55112,462.67123,510.2684,456.43283,572.6474,433.21704,634.1072,416.16504,700.06635,424.57648,752.5661,457.1275,482.838,495.17514,474.96817,538.0772,465.38095,580.68805,456.10663,625.80115,433.16034,660.5999,453.21323,674.0678,476.5802,681.2659,506.85324,673.5138,535.62396,664.71704,365.92517,503.509,383.10214,481.13934,413.98404,479.05112,444.78494,502.371,415.08517,507.596,384.6489,511.1861,576.2827,495.18353,606.43005,467.10718,642.5613,466.6223,676.5215,484.96643,645.23425,496.9145,609.2238,497.31494,433.34686,773.9658,440.74722,752.22156,459.78925,743.3809,480.25586,750.3753,504.89624,741.19464,547.8566,749.2289,596.0082,768.42444,551.236,790.0013,513.70325,800.3611,487.2231,802.71094,465.97467,801.99207,448.69302,792.46515,446.027,773.50836,462.2537,765.623,482.63272,767.80835,508.1841,763.7246,578.8781,768.1897,509.07217,772.5482,483.3403,777.1645,463.0794,774.179
2,11981.jpg,199.23993,476.45166,203.46051,559.63617,208.41432,638.2666,221.08926,714.79004,249.75867,782.23505,296.12094,839.11383,357.24683,886.73224,420.83478,927.5469,492.26157,939.7927,561.1492,929.9277,621.7843,890.75385,675.0938,842.744,715.7752,786.1705,741.8095,719.8157,758.91284,648.1833,770.13824,574.2107,779.378,497.08072,253.31857,471.75775,292.66965,430.9776,353.3319,419.71606,416.72937,420.50513,474.1447,439.10684,553.81744,437.65152,611.2897,420.18732,670.74384,420.73215,723.71484,434.12915,752.5032,476.4397,518.31854,482.73953,518.39264,538.46936,519.4212,594.3197,520.0628,652.063,442.24677,666.85455,476.9036,681.05084,513.4208,693.7121,548.5166,683.0692,578.4965,671.685,324.97635,489.81735,360.2652,474.81732,396.8383,472.95895,432.1683,494.4389,398.0368,498.0202,360.51605,500.13974,583.74506,495.37277,622.4927,474.2366,658.84485,475.512,688.5335,491.87494,659.3774,501.87244,622.5804,500.09042,384.76636,736.7413,437.13794,742.9631,478.01944,745.9039,507.71713,754.3304,537.35724,748.2387,574.4145,749.3529,617.8817,744.357,573.79095,784.31805,534.5383,793.2548,503.32156,795.66144,471.94604,791.2388,431.1079,776.5328,403.10785,742.41583,476.59903,757.5566,506.69012,763.46704,537.02966,760.06024,600.28204,751.1593,535.7768,756.3208,504.5621,759.54456,474.96686,755.22327
3,2100.jpg,125.61774,443.949,127.25776,535.67017,137.83057,629.17896,166.85008,715.4179,218.71504,788.7432,284.0824,850.1169,355.64038,899.95776,430.95334,935.0513,498.2501,936.69604,550.3519,912.14624,574.9433,852.21484,599.6131,796.00256,629.4271,739.2182,658.03235,683.8489,684.6675,625.92944,696.9115,562.34375,692.16754,500.0802,267.8718,446.7554,326.96558,417.65356,392.98224,409.7013,457.5417,425.27298,517.9653,452.63834,599.485,453.41196,628.27527,430.2489,660.3143,411.00412,692.99817,397.9721,712.8864,419.1993,559.2049,502.4358,569.49426,557.06165,581.81866,611.1873,593.7031,665.6437,497.2401,694.4985,530.49384,702.8376,563.99506,712.00024,591.8078,700.92706,612.15515,681.76056,344.1246,492.24942,382.52762,475.43784,423.6746,475.4467,455.73233,502.9827,419.75836,510.59106,378.14185,509.2632,582.8482,501.6088,612.6139,471.08875,647.88574,467.86588,670.46246,485.18396,651.1281,503.9449,616.3532,505.66595,419.16098,782.4845,477.17392,771.1026,526.3187,759.5921,551.624,765.8994,569.7603,755.9826,585.0634,759.64044,593.9689,772.1177,578.1368,798.07086,564.6049,814.07385,543.9024,820.0608,517.3285,820.38336,472.3412,809.87256,438.49182,783.09143,523.6526,783.5577,549.045,782.8027,568.2789,777.8237,578.9872,777.0686,565.9422,775.18524,547.0507,783.80133,522.9988,784.4044
4,22393.jpg,182.50328,518.7148,192.12935,593.66376,203.05052,668.51044,232.03035,739.58057,280.43268,796.3855,340.32776,841.0166,408.7019,877.79034,474.4267,906.8252,536.2525,910.02106,587.16284,891.7805,623.09924,846.3012,655.03827,795.8615,679.205,743.46765,700.62726,689.08606,714.95935,631.3157,716.97003,571.1317,711.4356,512.527,275.18475,455.47015,320.213,419.68402,378.00925,401.74622,439.99533,403.01553,493.78143,424.9847,564.5893,416.0099,607.47974,397.08707,654.09125,393.33017,694.0756,410.63446,711.8052,446.87555,535.0223,477.70874,543.7118,520.06433,553.5412,561.9605,563.48236,604.2721,485.9583,647.80835,518.5116,653.1349,550.8452,658.7456,577.6789,651.3837,600.93604,639.9845,339.84677,492.3137,375.2882,473.16882,413.30054,471.90494,448.1318,495.59824,413.9488,504.0947,374.2934,505.87393,575.20734,495.34198,607.28656,467.86804,642.8437,468.52536,668.7391,488.0398,645.49164,502.01807,609.3968,501.91003,412.49417,730.0303,471.18356,718.0855,519.3807,707.36426,548.1631,711.6302,573.6208,703.3535,602.1523,709.34973,623.8256,719.87976,601.77295,751.9783,574.9154,768.297,546.9982,773.75543,515.87335,772.93964,467.442,759.30273,430.28275,731.8671,518.5014,733.4299,547.42487,733.49054,573.6146,729.15125,606.98254,724.70013,573.04974,732.7234,546.40234,738.4724,517.332,738.4233
5,14621.jpg,244.35576,523.6694,248.32292,589.25525,261.6613,650.4597,277.3751,711.7802,304.0328,770.9122,344.7378,822.7897,398.05722,865.3052,454.69678,901.5803,515.6598,912.1533,575.4672,899.95905,628.2789,862.48566,679.35254,817.31396,719.14154,763.0195,744.0664,699.89874,759.6452,635.42175,771.0944,569.1495,773.2521,499.90695,287.23975,433.20737,314.32028,398.20984,360.88257,384.57886,408.85165,388.03253,453.03598,405.66458,564.89996,406.9007,608.43256,387.4165,655.0846,379.63446,701.309,389.07925,730.86475,423.36957,513.0883,480.81644,514.7392,531.39935,517.35504,582.0972,519.4598,632.76154,461.35315,668.50287,489.11322,673.6015,518.42017,681.731,545.8755,671.9184,570.48694,665.31433,337.28384,496.0807,366.25644,475.7884,404.5213,476.01016,437.55496,503.42804,403.59946,511.29846,364.71796,510.76218,581.5868,499.3668,613.30145,469.15387,652.0578,467.7435,680.30005,487.601,655.4177,503.02353,616.1438,504.64664,397.20908,737.645,443.1691,732.60736,485.5315,726.5818,514.18604,733.53815,542.21606,726.07983,584.83203,730.89355,629.4813,734.3029,585.8709,784.66284,545.74066,805.49805,514.78595,809.3774,483.8382,805.4094,441.7158,785.9876,413.91522,743.1889,485.70483,751.53674,514.3591,753.6245,543.3537,749.9726,611.8378,741.265,543.2666,766.58813,513.93036,769.2018,485.05377,766.4706
6,21856.jpg,291.328,520.53625,288.5629,584.7223,298.9459,646.3506,317.26276,706.4324,341.05472,764.74023,378.05383,819.16364,421.5095,868.61035,463.37247,915.31396,517.4686,936.6068,587.4651,932.7874,662.8882,901.5554,735.0952,859.4143,799.9397,808.50653,845.1503,740.6968,865.9961,661.0394,876.7654,579.4791,877.94855,494.1929,285.08456,427.70416,304.39496,393.00903,346.14594,390.89816,386.29807,403.84296,426.76425,424.20923,514.0043,420.34604,573.4323,391.69556,638.3974,381.72156,702.7055,394.28378,758.4002,426.6852,476.42212,491.9604,470.7174,545.386,463.8747,597.96356,456.53476,650.17645,419.85406,684.495,445.13327,695.5456,473.06424,703.8688,507.1558,695.9391,538.45935,689.1126,332.66364,489.22876,356.56952,465.52084,396.3578,467.20392,426.60913,504.5674,392.564,509.71075,353.78528,507.41928,571.33026,501.77505,609.1284,467.1784,652.64484,465.01685,692.01154,488.65067,657.4676,506.1883,612.12,507.6615,406.0339,771.8134,432.12592,766.3687,461.36658,759.9819,481.3298,768.0319,505.6704,760.33636,551.7821,767.57544,614.0542,771.55945,555.2318,798.56903,510.2068,810.02625,484.07446,811.53314,463.48227,807.7011,435.5087,794.33203,421.1801,776.75323,463.15665,782.95166,483.68112,787.2569,508.16797,784.5394,594.71014,775.56085,506.0971,777.7405,481.60913,779.67944,461.88843,775.2678
7,2114.jpg,253.70595,514.4808,255.36461,590.91254,259.7664,664.6569,270.74368,739.13824,292.40894,810.7863,331.38126,872.3195,380.52652,928.1683,436.25616,974.3561,504.53116,990.14325,570.4945,978.45874,630.8157,940.7631,687.6663,887.44257,729.8899,822.5741,753.93787,749.13135,767.4696,672.91724,778.90967,596.3513,784.5754,518.5223,284.53622,470.8399,316.11328,439.55276,363.31604,431.7235,413.04843,437.29828,460.90775,454.9321,558.0824,456.1227,608.2775,434.2669,662.5774,429.88232,716.08856,442.2218,752.11206,475.67224,508.81235,495.97458,506.95898,553.6156,505.35822,610.308,503.5217,667.89307,446.44287,684.761,473.09958,699.6817,503.9929,711.079,537.3979,700.68475,567.885,687.692,338.02457,495.2681,368.70657,470.08502,409.9992,472.5729,445.96744,510.02942,406.77774,511.4748,364.51532,510.46317,579.3925,512.2814,615.5493,475.1072,657.56305,472.08502,688.4043,499.52203,660.60333,513.73553,617.57697,514.4839,379.09906,756.30176,422.117,745.5094,469.8431,745.2558,508.3979,754.9145,545.1258,746.44086,600.8996,749.249,645.8055,761.4935,601.2759,820.6245,547.1218,844.31226,507.3106,848.0351,465.9228,841.9419,419.08682,815.0371,394.63654,759.90247,469.49146,765.9658,508.14917,772.78784,545.63904,766.95026,629.1232,764.0869,546.6197,811.47815,508.3826,814.8535,468.49573,808.5734
8,26687.jpg,285.7709,506.61652,280.2594,573.9181,282.1654,643.506,290.27472,712.5587,305.41705,782.19763,335.13162,842.37506,377.4954,894.3116,428.9429,935.54926,491.98163,955.64734,563.81366,948.55865,636.5192,919.6603,704.83606,877.33075,755.31445,820.3033,784.648,752.24365,801.1154,677.7484,811.6919,600.77185,818.4794,524.06213,292.5116,438.46414,321.4587,406.61716,368.04514,401.5843,414.67688,412.23645,457.7555,436.74243,547.45374,439.01718,599.328,416.08322,656.7565,409.3802,713.76776,420.30447,757.21674,456.12534,496.215,483.36166,489.79422,529.5179,482.67694,575.51465,475.591,622.5512,434.41107,657.7422,456.7472,668.1591,483.65613,676.3205,517.3947,668.9087,551.556,660.43976,343.4724,490.19028,370.2863,473.18018,406.1215,475.02634,441.95734,501.48495,403.63907,505.277,367.15643,504.05377,583.72656,504.82678,618.2761,481.2579,656.4334,481.39047,689.78674,500.4565,656.84204,511.72046,617.58606,510.80148,384.56955,735.9419,420.607,725.279,461.7189,721.0514,493.0839,727.71735,524.24066,720.8608,579.5778,726.1021,640.20935,737.91144,583.36755,792.24255,527.6121,814.55566,494.50067,816.9625,460.07574,812.6906,420.48102,790.5294,399.72076,739.8804,461.26727,742.8033,493.81348,746.8825,524.1762,742.8467,626.0814,741.4356,526.75586,782.84393,495.69925,784.6634,462.59235,781.157
9,12522.jpg,221.4127,475.15112,228.98781,555.316,241.7566,633.4043,262.3232,710.23785,299.01752,775.9937,348.88873,833.7565,403.38007,884.89905,466.81747,922.80426,532.46783,931.0648,592.33685,912.42633,643.0367,860.06805,687.4524,803.6281,725.72845,740.08307,749.1107,668.0133,758.0533,594.8404,762.3783,521.72876,763.06616,444.89313,272.4198,454.28003,309.96005,420.14014,364.73553,414.18982,418.11343,427.37326,469.21436,450.16275,558.17267,449.68137,599.1563,420.92233,648.8734,402.18655,700.2555,400.36874,736.9848,429.56448,518.1844,500.6852,522.2539,555.2253,526.7604,609.8251,530.88965,665.2205,459.76,675.0693,492.30692,686.3244,527.56506,696.7174,559.32904,685.3624,588.28033,671.6919,332.5911,493.43634,365.62415,480.70282,403.29068,483.3726,439.43835,509.6773,401.9708,515.18976,362.88318,513.2615,586.1796,505.73544,620.0174,478.8394,656.2949,474.01538,686.08704,485.54492,662.2535,506.42703,624.7162,509.55594,395.24994,728.2071,446.5649,726.4301,495.74997,725.62494,527.46655,732.83514,556.3639,726.5977,597.3673,726.3599,640.1061,728.1481,597.9655,776.38434,557.76483,802.8664,526.0286,806.6658,492.9238,802.39954,444.26993,780.1121,412.46848,733.90137,495.44293,743.1231,527.4311,746.6698,557.0578,743.50214,623.69116,734.3755,556.41156,767.8878,525.6629,772.98083,493.27396,768.2597
